,address
79,"Беговая улица, 17, корпус 1"
80,"Беговая улица, 28"
81,"улица Демьяна Бедного, 4"
82,"Белореченская улица, 13, корпус 1"
83,"Белореченская улица, 17"
84,"Бережковская набережная, 8"
85,"Бережковская набережная, 14"
86,"улица Берзарина, 8"
87,"Бескудниковский бульвар, 40, корпус 3"
88,"Бескудниковский бульвар, 57, корпус 1"
89,"улица Бестужевых, 23"
90,"Бибиревская улица, 7, корпус 1"
91,"улица Маршала Бирюзова, 4, корпус 1"
92,"улица Маршала Бирюзова, 4, корпус 2"
93,"улица Маршала Бирюзова, 9"
94,"улица Маршала Бирюзова, 12"
95,"улица Маршала Бирюзова, 13"
96,"улица Маршала Бирюзова, 16"
97,"улица Маршала Бирюзова, 19"
98,"улица Маршала Бирюзова, 19"
99,"улица Маршала Бирюзова, 21"
100,"улица Маршала Бирюзова, 22, корпус 1"
101,"улица Маршала Бирюзова, 28"
102,"улица Маршала Бирюзова, 28"
103,"Бойцовая улица, 17, корпус 1"
104,"Болотниковская улица, 47, корпус 1"
105,"Коктебельская улица, 11, строение 3"
106,"Ботаническая улица, 11"
107,"1-й Боткинский проезд, 2/6"
108,"улица Академика Бочвара, 7, корпус 1"
109,"улица Академика Бочвара, 7, корпус 1"
110,"улица Бочкова, 5"
111,"2-я Брестская улица, 24/15"
112,"2-я Брестская улица, 43"
113,"Бригадирский переулок, 3-5"
114,"Бригадирский переулок, 3-5"
115,"Бригадирский переулок, 3-5"
116,"Большая Бронная улица, 2/6"
117,"Большая Бронная улица, 27/4"
118,"Большая Бронная улица, 27/4"
119,"Большая Бронная улица, 27/4"
120,"Большая Бронная улица, 29"
121,"Малая Бронная улица, 4"
122,"Малая Бронная улица, 4"
123,"Малая Бронная улица, 10, строение 1"
124,"Малая Бронная улица, 10, строение 1"
125,"Малая Бронная улица, 20, строение 1"
126,"Малая Бронная улица, 20, строение 1"
127,"Малая Бронная улица, 20А"
128,"Малая Бронная улица, 21/13, строение 1"
129,"Малая Бронная улица, 22, строение 1"
130,"Малая Бронная улица, 27/14"
131,"Будайская улица, 3"
132,"проспект Будённого, 1/1"
133,"проспект Будённого, 24, корпус 1"
134,"Булатниковская улица, 5, корпус 4"
135,"улица Бутлерова, 22"
136,"Бутырская улица, 7"
137,"Бутырская улица, 9, корпус 2"
138,"Бутырская улица, 11"
139,"Бутырская улица, 79"
140,"Бутырская улица, 84"
141,"Бутырская улица, 89"
142,"Бутырская улица, 89"
143,"улица Вавилова, 72/13"
144,"улица Вавилова, 81"
145,"Нахимовский проспект, владение 75А"
146,"Валовая улица, 2-4/44, строение 1"
147,"Валовая улица, 6"
148,"Валовая улица, 8/18"
149,"Валовая улица, 11/19"
150,"Варсонофьевский переулок, 6"
151,"Варшавское шоссе, 2"
152,"Варшавское шоссе, 7, корпус 1"
153,"Варшавское шоссе, 29"
154,"Варшавское шоссе, 72, корпус 2"
155,"Варшавское шоссе, 100"
156,"Варшавское шоссе, 143А"
157,"улица Маршала Василевского, 3, корпус 1"
158,"улица Маршала Василевского, 11, корпус 1"
159,"улица Маршала Василевского, 17"
160,"Васильевская улица, 2, корпус 1"
161,"Васильевская улица, 4"
162,"Велозаводская улица, 6"
163,"Велозаводская улица, 6"
164,"Вельяминовская улица, 6"
165,"проспект Вернадского, 9/10"
166,"проспект Вернадского, 11/19"
167,"проспект Вернадского, 11/19"
168,"проспект Вернадского, 11/19"
169,"проспект Вернадского, 11/19"
170,"проспект Вернадского, 13"
171,"улица Кравченко, 24/35"
172,"проспект Вернадского, 37"
173,"проспект Вернадского, 86, строение 1"
174,"проспект Вернадского, 93"
175,"проспект Вернадского, 97, корпус 1"
176,"проспект Вернадского, 97, корпус 1"
177,"проспект Вернадского, 103, корпус 1"
178,"проспект Вернадского, 125"
179,"Верхняя улица, 3, корпус 2"
180,"Весковский переулок, 4"
181,"Глазовский переулок, 5"
182,"улица Вешних Вод, 6, корпус 1"
183,"улица Вешних Вод, 8, корпус 2"
184,"Вешняковская улица, 2"
185,"Вешняковская улица, 2"
186,"улица Вилиса Лациса, 23, корпус 1"
187,"улица Вилиса Лациса, 33, корпус 1"
188,"1-я Владимирская улица, 9"
189,"1-я Владимирская улица, 14"
190,"1-я Владимирская улица, 21"
191,"1-я Владимирская улица, 39/12"
192,"2-я Владимирская улица, 22"
193,"2-я Владимирская улица, 36"
194,"2-я Владимирская улица, 36"
195,"2-я Владимирская улица, 44/10"
196,"2-я Владимирская улица, 52, корпус 2"
197,"3-я Владимирская улица, 6"
198,"3-я Владимирская улица, 27"
199,"3-я Владимирская улица, 29"
200,"улица Архитектора Власова, 11, корпус 1"
201,"улица Архитектора Власова, 47"
202,"улица Академика Волгина, 6"
203,"улица Академика Волгина, 29, корпус 1"
204,"Волгоградский проспект, 4"
205,"Волгоградский проспект, 15"
206,"Волгоградский проспект, 17, строение 1"
207,"Волгоградский проспект, 17, строение 1"
208,"Волгоградский проспект, 17"
209,"Волгоградский проспект, 17"
210,"Волгоградский проспект, 66, корпус 4"
211,"Волгоградский проспект, 103, корпус 6"
212,"Волгоградский проспект, 157, корпус 4"
213,"Ферганская улица, 12"
214,"Волоколамское шоссе, 3"
215,"Волоколамское шоссе, 13"
216,"Волоколамское шоссе, 13"
217,"Волоколамское шоссе, 15/22"
218,"Волоколамское шоссе, 15/22"
219,"Волоколамское шоссе, 92"
220,"улица Волхонка, 6"
221,"улица Волхонка, 7/6"
222,"Воронежская улица, 26, корпус 4"
223,"Воронцовская улица, 13/14, строение 3"
224,"Воронцовская улица, 36, строение 1"
225,"Воронцовская улица, 48"
226,"Воронцовская улица, 48"
227,"Воронцовская улица, 48"
228,"Воротниковский переулок, 11, строение 1"
229,"Кудринская площадь, 1"
230,"Кудринская площадь, 1"
231,"Кудринская площадь, 1"
232,"Кудринская площадь, 1"
233,"Кудринская площадь, 1"
234,"улица 8 Марта, 15"
235,"2-й Вышеславцев переулок, 17"
236,"улица Бориса Галушкина, 5"
237,"улица Бориса Галушкина, 10"
238,"улица Бориса Галушкина, 26"
239,"улица Гастелло, 37"
240,"улица Гастелло, 37"
241,"Гвардейская улица, 15, корпус 1"
242,"улица Героев Панфиловцев, 1, корпус 1"
243,"улица Героев Панфиловцев, 13, корпус 1"
244,"улица Героев Панфиловцев, 16, корпус 1"
245,"улица Героев Панфиловцев, 51"
246,"Большая Никитская улица, 24/1, строение 1"
247,"Большая Никитская улица, 24/1, строение 1"
248,"Большая Никитская улица, 35"
249,"улица Гиляровского, 17"
250,"улица Гиляровского, 60, строение 1"
251,"Глебовская улица, 10"
252,"Большой Гнездниковский переулок, 10"
253,"Малый Гнездниковский переулок, 9, строение 7"
254,"Малый Гнездниковский переулок, 9, строение 7"
255,"Малый Гнездниковский переулок, 9, строение 7"
256,"Гоголевский бульвар, 8"
257,"Гоголевский бульвар, 23"
258,"Гоголевский бульвар, 25, строение 1"
259,"Гоголевский бульвар, 33/1"
260,"улица Маршала Голованова, 19"
261,"Городецкая улица, 3"
262,"Тверская улица, 6, строение 1"
263,"Тверская улица, 12, строение 1"
264,"Тверская улица, 12, строение 2"
265,"Тверская улица, 12, строение 7"
266,"Тверская улица, 12, строение 8"
267,"Тверская улица, 14"
268,"Тверская улица, 15"
269,"Тверская улица, 15"
270,"Тверская улица, 15"
271,"Тверская улица, 17"
272,"Тверская улица, 17"
273,"Тверская улица, 17"
274,"Тверская улица, 17"
275,"Тверская улица, 19"
276,"Тверская улица, 19А"
277,"Тверская улица, 27, строение 1"
278,"Тверская улица, 27, строение 1"
279,"Тверская улица, 27, строение 2"
280,"Тверская улица, 27, строение 2"
281,"Тверская улица, 30/2, строение 1"
282,"Тверская улица, 30/2, строение 1"
283,"1-я Тверская-Ямская улица, 4"
284,"1-я Тверская-Ямская улица, 7"
285,"1-я Тверская-Ямская улица, 7"
286,"1-я Тверская-Ямская улица, 7"
287,"1-я Тверская-Ямская улица, 9"
288,"1-я Тверская-Ямская улица, 8"
289,"1-я Тверская-Ямская улица, 11"
290,"1-я Тверская-Ямская улица, 13, строение 1"
291,"1-я Тверская-Ямская улица, 13, строение 1"
292,"1-я Тверская-Ямская улица, 12"
293,"улица Госпитальный Вал, 22/2"
294,"улица Чаянова, 12"
295,"Кутузовский проспект, 71"
296,"Большая Грузинская улица, 39"
297,"Большая Грузинская улица, 39"
298,"улица Грузинский Вал, 26, строение 1"
299,"улица Грузинский Вал, 26, строение 1"
300,"улица Грузинский Вал, 28/45"
301,"улица Грузинский Вал, 28/45"
302,"Грузинский переулок, 4"
303,"Грузинский переулок, 14"
304,"Гурьевский проезд, 25, корпус 1"
305,"Гурьевский проезд, 31, корпус 1"
306,"Даев переулок, 2"
307,"улица 26-ти Бакинских Комиссаров, 7, корпус 6"
308,"улица Девятая Рота, 14"
309,"проезд Дежнёва, 11, корпус 1"
310,"улица Мусы Джалиля, 4, корпус 6"
311,"улица Большая Лубянка, 26/17, строение 1"
312,"улица Большая Якиманка, 19"
313,"улица Большая Якиманка, 32"
314,"улица Большая Якиманка, 32"
315,"улица Большая Якиманка, 32"
316,"улица Большая Якиманка, 52"
317,"улица Большая Якиманка, 54"
318,"улица Большая Якиманка, 56"
319,"улица Большая Якиманка, 58/2"
320,"улица Большая Якиманка, 58/2"
321,"Дмитровское шоссе, 5, корпус 1"
322,"Дмитровское шоссе, 15, корпус 1"
323,"Дмитровское шоссе, 45, корпус 1"
324,"Дмитровское шоссе, 46, корпус 1"
325,"Дмитровское шоссе, 47"
326,"Дмитровское шоссе, 48, корпус 1"
327,"Дмитровское шоссе, 64, корпус 3"
328,"Дмитровское шоссе, 89, корпус 4"
329,"Дмитровское шоссе, 95, корпус 1"
330,"Днепропетровская улица, 3, корпус 1"
331,"улица Коровий Вал, 7, строение 1"
332,"улица Доватора, 11, корпус 1"
333,"улица Доватора, 13"
334,"улица Докукина, 5, корпус 1"
335,"Домодедовская улица, 24, корпус 4"
336,"Большая Дорогомиловская улица, 11"
337,"Дубнинская улица, 4, корпус 1"
338,"Дубнинская улица, 10, корпус 1"
339,"Дубнинская улица, 30, корпус 1"
340,"Дубосековская улица, 7"
341,"Дубосековская улица, 9"
342,"Дубосековская улица, 13"
343,"1-я Дубровская улица, 6"
344,"1-я Дубровская улица, 13"
345,"улица Дудинка, 1"
346,"улица Дурова, 3/13"
347,"улица Дыбенко, 44"
348,"Енисейская улица, 11"
349,"Енисейская улица, 19"
350,"улица Генерала Ермолова, 4"
351,"Большой Каретный переулок, 6"
352,"улица Жебрунова, 4"
353,"бульвар Матроса Железняка, 7/20"
354,"улица Бориса Жигулёнкова, 15"
355,"Житная улица, 10"
356,"проспект Маршала Жукова, 17"
357,"проспект Маршала Жукова, 19, корпус 1"
358,"проспект Маршала Жукова, 35, корпус 1"
359,"улица Жуковского, 5"
360,"Заревый проезд, 12"
361,"Заревый проезд, 12"
362,"Заревый проезд, 14/12"
363,"улица Зацепский Вал, 6/13, строение 1"
364,"Зеленодольская улица, 33, корпус 3"
365,"Зелёный проспект, 6, корпус 2"
366,"1-я Владимирская улица, 37/15"
367,"1-я Владимирская улица, 37/15"
368,"Зелёный проспект, 62А"
369,"Зелёный проспект, 74"
370,"Зубовский бульвар, 16-20, строение 1"
371,"Зубовский бульвар, 25"
372,"Зубовский бульвар, 25"
373,"улица Ибрагимова, 5А"
374,"Измайловский бульвар, 47"
375,"Измайловский бульвар, 47"
376,"Измайловский бульвар, 75"
377,"Изумрудная улица, 13, корпус 1"
378,"улица Исаковского, 2, корпус 1"
379,"улица Исаковского, 31"
380,"улица Исаковского, 33, корпус 3"
381,"2-я Кабельная улица, 10"
382,"Кавказский бульвар, 16, корпус 2"
383,"улица Казакова, 8А"
384,"улица Казакова, 10/2, строение 1"
385,"улица Новый Арбат, 22"
386,"улица Новый Арбат, 22"
387,"улица Новый Арбат, 22"
388,"Долгоруковская улица, 5"
389,"Долгоруковская улица, 39/6"
390,"Долгоруковская улица, 39/6"
391,"улица Большие Каменщики, 21/8"
392,"Пролетарский проспект, 14/49, корпус 1"
393,"Кантемировская улица, 17, корпус 1"
394,"2-й квартал Капотня, 1"
395,"Старая Басманная улица, 5, строение 1"
396,"Старая Басманная улица, 9, корпус 1"
397,"Кастанаевская улица, 11"
398,"Кастанаевская улица, 54"
399,"улица Каховка, 8, корпус 1"
400,"улица Каховка, 12, корпус 2"
401,"Малая Никитская улица, 2/1, строение 1"
402,"Малая Никитская улица, 2/1, строение 1"
403,"Малая Никитская улица, 10"
404,"Малая Никитская улица, 16/5"
405,"Каширское шоссе, 5, корпус 1"
406,"Каширское шоссе, 13, корпус 1"
407,"Каширское шоссе, 46, корпус 1"
408,"Каширское шоссе, 56, корпус 2"
409,"Каширское шоссе, 60, корпус 2"
410,"Керченская улица, 1, корпус 1"
411,"Керченская улица, 1А, корпус 3"
412,"улица Кибальчича, 2, корпус 1"
413,"Киевская улица, 20"
414,"Киевская улица, 20"
415,"Мясницкая улица, 15"
416,"Мясницкая улица, 22, строение 1"
417,"Мясницкая улица, 22, строение 1"
418,"Мясницкая улица, 24/7, строение 1"
419,"Мясницкая улица, 24/7, строение 1"
420,"Мясницкая улица, 24/7, строение 1"
421,"Мясницкая улица, 24/7, строение 1"
422,"Мясницкая улица, 24/7, строение 1"
423,"Мясницкая улица, 24/7, строение 2"
424,"Мясницкая улица, 24/7, строение 2"
425,"Мясницкая улица, 30/1/2, строение 1"
426,"Мясницкая улица, 30/1/2, строение 1"
427,"Мясницкая улица, 30/1/2, строение 2"
428,"Мясницкая улица, 40А"
429,"Кировоградская улица, 11"
430,"Кировоградская улица, 11"
431,"Кировоградская улица, 25, корпус 1"
432,"Рождественский бульвар, 10/7, строение 1"
433,"Кожевническая улица, 5"
434,"5-я Кожуховская улица, 10, корпус 1"
435,"Малый Козихинский переулок, 10, строение 1"
436,"Большой Козловский переулок, 3/2"
437,"2-й Колобовский переулок, 12"
438,"Коломенская улица, 5"
439,"Большая Сухаревская площадь, 16/18, строение 1"
440,"Большая Сухаревская площадь, 16/18, строение 2"
441,"Малая Сухаревская площадь, 8"
442,"улица Коминтерна, 16"
443,"Большой Златоустинский переулок, 3/5, строение 1"
444,"Фрунзенская набережная, 12"
445,"Комсомольский проспект, 5/2"
446,"Комсомольский проспект, 5/2"
447,"Комсомольский проспект, 7, строение 1"
448,"Комсомольский проспект, 14/1, корпус 1"
449,"Комсомольский проспект, 14/1, корпус 2"
450,"Комсомольский проспект, 14/1, корпус 2"
451,"Комсомольский проспект, 17"
452,"Комсомольский проспект, 21/10"
453,"Комсомольский проспект, 21/10"
454,"Комсомольский проспект, 21/10"
455,"Комсомольский проспект, 21/10"
456,"Комсомольский проспект, 29"
457,"Комсомольский проспект, 30"
458,"3-я Фрунзенская улица, 14/37"
459,"Комсомольский проспект, 45"
460,"улица Конёнкова, 14"
461,"улица Коновалова, 16А"
462,"Конюшковская улица, 32"
463,"Кооперативная улица, 2, корпус 13"
464,"Коптевская улица, 22"
465,"улица Корнейчука, 37"
466,"улица Академика Королёва, 3"
467,"улица Академика Королёва, 28, корпус 1"
468,"улица Павла Корчагина, 13"
469,"Большая Косинская улица, 24А"
470,"улица Космонавтов, 2"
471,"улица Космонавтов, 2"
472,"улица Космонавтов, 12"
473,"улица Космонавтов, 13"
474,"улица Барклая, 15, корпус 1"
475,"улица Костякова, 6/5"
476,"улица Косыгина, 5"
477,"Кочновский проезд, 7, корпус 1"
478,"улица Коштоянца, 1/83"
479,"улица Коштоянца, 1А"
480,"улица Кравченко, 8"
481,"улица Красина, 7, строение 1"
482,"улица Красина, 21"
483,"улица Красная Пресня, 11"
484,"улица Красная Пресня, 29"
485,"улица Красная Пресня, 29"
486,"улица Красная Пресня, 29"
487,"Красноармейская улица, 5"
488,"Краснобогатырская улица, 21"
489,"Краснодарская улица, 46"
490,"Краснодарская улица, 51, корпус 2"
491,"Краснодонская улица, 2, корпус 1"
492,"Красноказарменная улица, 16"
493,"Краснопрудная улица, 1"
494,"Краснопрудная улица, 3-5, строение 1"
495,"Краснопрудная улица, 7-9"
496,"Краснопрудная улица, 22-24"
497,"Краснопрудная улица, 22-24"
498,"Краснопрудная улица, 22-24"
499,"Краснопрудная улица, 26"
500,"Верхняя Красносельская улица, 8, корпус 3"
501,"Верхняя Красносельская улица, 34"
502,"Малая Красносельская улица, 14"
503,"Краснохолмская набережная, 1/15"
504,"Краснохолмская набережная, 13, строение 1"
505,"улица Красный Казанец, 17"
506,"улица Красного Маяка, 1, корпус 1"
507,"улица Красного Маяка, 2"
508,"улица Кржижановского, 1/19"
509,"улица Кржижановского, 15, корпус 3"
510,"улица Кржижановского, 18, корпус 1"
511,"улица Кржижановского, 18, корпус 2"
512,"улица Кржижановского, 24/35, корпус 3"
513,"улица Кржижановского, 24/35, корпус 3"
514,"Кривоколенный переулок, 10, строение 2"
515,"Кронштадтский бульвар, 15, корпус 1"
516,"Гоголевский бульвар, 3"
517,"Гоголевский бульвар, 3"
518,"улица Пречистенка, 31/16"
519,"3-й Крутицкий переулок, 13"
520,"1-й Обыденский переулок, 9/12"
521,"улица Кулакова, 25, корпус 2"
522,"Кунцевская улица, 10"
523,"Кусковская улица, 1"
524,"Кусковская улица, 47"
525,"Кутузовский проспект, 2/1, корпус 1А"
526,"Кутузовский проспект, 2/1, корпус 1А"
527,"Кутузовский проспект, 2/1, корпус 1А"
528,"Кутузовский проспект, 4/2"
529,"Кутузовский проспект, 8"
530,"Кутузовский проспект, 17"
531,"Кутузовский проспект, 21"
532,"Кутузовский проспект, 30"
533,"Кутузовский проспект, 30"
534,"Кутузовский проспект, 41"
535,"Ладожская улица, 2/37"
536,"Лазаревский переулок, 4"
537,"Лазаревский переулок, 4"
538,"улица Лапина, 3"
539,"Лебедянская улица, 28, корпус 1"
540,"Малый Лёвшинский переулок, 14/9, строение 1"
541,"Ленинградский проспект, 2"
542,"Ленинградский проспект, 10"
543,"Ленинградский проспект, 11"
544,"Ленинградский проспект, 12"
545,"Ленинградский проспект, 12"
546,"Ленинградский проспект, 24"
547,"Ленинградский проспект, 24"
548,"Ленинградский проспект, 33, корпус 3"
549,"Ленинградский проспект, 33, корпус 4"
550,"Ленинградский проспект, 35"
551,"Ленинградский проспект, 48"
552,"Ленинградский проспект, 48"
553,"Ленинградский проспект, 48"
554,"Ленинградский проспект, 56"
555,"Ленинградский проспект, 60, корпус 1"
556,"Ленинградский проспект, 62"
557,"Ленинградский проспект, 62"
558,"Ленинградский проспект, 62"
559,"Ленинградский проспект, 66"
560,"Ленинградский проспект, 66"
561,"Ленинградский проспект, 74, корпус 1"
562,"Ленинградский проспект, 74, корпус 1"
563,"Ленинградский проспект, 74, корпус 1"
564,"Ленинградский проспект, 74, корпус 6"
565,"Ленинградский проспект, 77, корпус 2"
566,"Ленинградский проспект, 78, корпус 1"
567,"Ленинградский проспект, 78, корпус 1"
568,"Ленинградское шоссе, 3, строение 1"
569,"Ленинградское шоссе, 8, корпус 2"
570,"Ленинградское шоссе, 9, корпус 1"
571,"Ленинградское шоссе, 44"
572,"улица Зацепский Вал, 5"
573,"Павелецкая площадь, 1"
574,"Павелецкая площадь, 1"
575,"Павелецкая площадь, 1"
576,"Павелецкая площадь, 1"
577,"Павелецкая площадь, 1А, строение 1"
578,"Павелецкая площадь, 1"
579,"Павелецкая площадь, 1"
580,"Павелецкая площадь, 1"
581,"Павелецкая площадь, 1"
582,"Ленинский проспект, 2А"
583,"Ленинский проспект, 11, строение 1"
584,"Ленинский проспект, 13"
585,"Ленинский проспект, 28"
586,"Ленинский проспект, 34/1"
587,"Ленинский проспект, 37"
588,"Ленинский проспект, 37"
589,"Ленинский проспект, 37"
590,"Ленинский проспект, 37"
591,"Ленинский проспект, 37А"
592,"Ленинский проспект, 43"
593,"Ленинский проспект, 43"
594,"Ленинский проспект, 57"
595,"Ленинский проспект, 57"
596,"Ленинский проспект, 61/1"
597,"Ленинский проспект, 68/10"
598,"Ленинский проспект, 68/10"
599,"Ленинский проспект, 68/10"
600,"Ленинский проспект, 68/10"
601,"Ленинский проспект, 68/10"
602,"Ленинский проспект, 82/2"
603,"Ленинский проспект, 87"
604,"Ленинский проспект, 91"
605,"Ленинский проспект, 95"
606,"Ленинский проспект, 99"
607,"Ленинский проспект, 99"
608,"Ленинский проспект, 148"
609,"улица Лескова, 3А"
610,"улица Лескова, 5"
611,"улица Лескова, 6"
612,"Лесная улица, 10-16"
613,"Лесная улица, 20, строение 1"
614,"Лесная улица, 20, строение 1"
615,"Лесная улица, 45"
616,"улица Лестева, 21/61, корпус 1"
617,"Лиственничная аллея, 2Б"
618,"Лиственничная аллея, 2А"
619,"Лиственничная аллея, 2А"
620,"Лиственничная аллея, 12, строение 2"
621,"3-й Нижнелихоборский проезд, 15/27"
622,"Ломоносовский проспект, 3, корпус 1"
623,"Ломоносовский проспект, 7, корпус 1"
624,"Ломоносовский проспект, 31, корпус 5"
625,"Лосиноостровская улица, 2, строение 1"
626,"улица Малая Лубянка, 16"
627,"Лужнецкий проезд, 1"
628,"Люсиновская улица, 36/50"
629,"Люсиновская улица, 41, строение 1"
630,"Люсиновская улица, 53"
631,"Люсиновская улица, 55"
632,"Лялин переулок, 7/2, строение 1"
633,"Магнитогорская улица, 7"
634,"Магнитогорская улица, 19"
635,"улица Макаренко, 2/21, строение 1"
636,"улица Макаренко, 2/21, строение 1"
637,"Космодамианская набережная, 40-42, строение 3"
638,"Мантулинская улица, 10"
639,"Мантулинская улица, 18"
640,"Мантулинская улица, 18"
641,"Люблинская улица, 121/1"
642,"Малый Знаменский переулок, 7/10, строение 2"
643,"Марксистская улица, 5"
644,"Марксистская улица, 9"
645,"Марксистская улица, 9"
646,"Мартеновская улица, 9/13"
647,"Милютинский переулок, 3"
648,"Милютинский переулок, 19/4, строение 2"
649,"улица Верхняя Масловка, 21"
650,"улица Верхняя Масловка, 29"
651,"улица Нижняя Масловка, 5, корпус 1"
652,"улица Нижняя Масловка, 5, корпус 1"
653,"улица Нижняя Масловка, 5, корпус 5"
654,"улица Нижняя Масловка, 14"
655,"улица Мастеркова, 3"
656,"Матвеевская улица, 20, корпус 1"
657,"улица Матросская Тишина, 23/7, корпус 1"
658,"улица Покровка, 41, строение 1"
659,"улица Машкова, 22"
660,"Медынская улица, 5, корпус 1"
661,"улица Менжинского, 3"
662,"улица Металлургов, 7/18"
663,"улица Металлургов, 29"
664,"Мещанская улица, 12"
665,"улица Миклухо-Маклая, 3"
666,"улица Миклухо-Маклая, 5"
667,"улица Миклухо-Маклая, 9"
668,"улица Миклухо-Маклая, 9"
669,"улица Миклухо-Маклая, 13"
670,"улица Миклухо-Маклая, 13"
671,"улица Миклухо-Маклая, 15"
672,"улица Миклухо-Маклая, 17"
673,"улица Миклухо-Маклая, 19"
674,"улица Миклухо-Маклая, 21, корпус 1"
675,"улица Миклухо-Маклая, 21, корпус 1"
676,"улица Миклухо-Маклая, 21, корпус 3"
677,"улица Миклухо-Маклая, 55"
678,"улица Миклухо-Маклая, 55"
679,"улица Милашенкова, 10"
680,"улица Академика Миллионщикова, 7, корпус 1"
681,"проспект Мира, 5, корпус 1"
682,"проспект Мира, 29"
683,"проспект Мира, 29"
684,"проспект Мира, 31"
685,"проспект Мира, 40"
686,"проспект Мира, 47, строение 1"
687,"проспект Мира, 48, строение 6"
688,"проспект Мира, 49"
689,"проспект Мира, 49"
690,"проспект Мира, 54"
691,"проспект Мира, 56, строение 2"
692,"проспект Мира, 58"
693,"проспект Мира, 70"
694,"проспект Мира, 77, корпус 1"
695,"проспект Мира, 77, корпус 2"
696,"проспект Мира, 91, корпус 1"
697,"проспект Мира, 91, корпус 3"
698,"проспект Мира, 97"
699,"проспект Мира, 97"
700,"проспект Мира, 97"
701,"проспект Мира, 112"
702,"проспект Мира, 114Б"
703,"проспект Мира, 116"
704,"проспект Мира, 118"
705,"проспект Мира, 118"
706,"проспект Мира, 118"
707,"проспект Мира, 120"
708,"проспект Мира, 124, корпус 4"
709,"проспект Мира, 180"
710,"проспект Мира, 186, корпус 1"
711,"Мирской переулок, 5"
712,"улица Михайлова, 29, корпус 3"
713,"2-й Верхний Михайловский проезд, 2"
714,"Михалковская улица, 7"
715,"Михалковская улица, 8"
716,"Михалковская улица, 9"
717,"Михалковская улица, 13"
718,"Большой Патриарший переулок, 4"
719,"Большой Патриарший переулок, 10"
720,"Большой Патриарший переулок, 12, строение 1"
721,"Большой Патриарший переулок, 12, строение 1"
722,"улица Мнёвники, 7, корпус 2"
723,"Можайское шоссе, 11"
724,"Можайское шоссе, 30"
725,"Можайское шоссе, 31, корпус 1"
726,"Можайское шоссе, 39"
727,"Можайское шоссе, 39"
728,"Молодогвардейская улица, 26, корпус 1"
729,"Молодогвардейская улица, 28, корпус 1"
730,"улица Большая Молчановка, 15/12"
731,"Мосфильмовская улица, 17/25"
732,"Мосфильмовская улица, 22"
733,"Мосфильмовская улица, 23"
734,"Мурановская улица, 6"
735,"улица Мусоргского, 11А"
